codigo;ideb
4311122;
4311122;
4311130;4,2
4311130;4,2
4311155;4,4
4311155;4,4
4311205;3,6
4311205;
4311205;4,5
4311239;4,3
4311239;4,3
4311254;4,1
4311254;4,1
4311270;
4311270;
4311304;3,6
4311304;3,6
4311403;4,3
4311403;4,4
4311429;
4311429;
4311502;3,2
4311502;3,2
4311601;4,6
4311601;4,6
4311627;
4311627;
4311643;
4311643;
4311700;
4311700;
4311718;3,6
4311718;3,6
4311734;4,1
4311734;4,1
4311759;
4311759;
4311775;4,3
4311775;4,3
4311791;4,3
4311791;4,3
4311809;4,2
4311809;4,2
4311908;4,6
4311908;4,6
4311981;4,2
4311981;4,2
4312005;4,8
4312005;4,8
4312054;4,5
4312054;4,5
4312104;3,7
4312104;3,7
4312138;3,9
4312138;3,9
4312153;5,3
4312153;5,3
4312179;5,2
4312179;5,2
4312203;5,3
4312203;5,3
4312252;3,5
4312252;3,5
4312302;
4312302;
4312351;5,7
4312351;5,7
4312377;4,3
4312377;4,3
4312385;5,3
4312385;5,3
4312401;4,5
4312401;4,5
4312427;
4312427;
4312443;4,6
4312443;4,6
4312450;4,0
4312450;4,0
4312476;4,2
4312476;4,2
4312500;3,9
4312500;3,9
4312609;
4312609;
4312617;4,5
4312617;4,5
4312625;
4312625;
4312658;
4312658;
4312674;
4312674;
4312708;3,6
4312708;3,6
4312757;4,9
4312757;4,9
4312807;5,1
4312807;5,1
4312906;4,6
4312906;4,6
4312955;5,3
4312955;5,3
4313003;4,8
4313003;4,8
4313011;5,3
4313011;5,3
4313037;4,2
4313037;4,2
4313060;4,3
4313060;4,3
4313086;
4313086;
4313102;4,8
4313102;4,8
4313201;4,5
4313201;4,5
4313300;4,5
4313300;4,5
4313334;4,0
4313334;4,0
4313359;5,1
4313359;5,1
4313375;2,8
4313375;2,8
4313391;
4313391;
4313409;4,5
4313409;4,5
4313425;4,4
4313425;4,4
4313441;
4313441;
4313466;5,2
4313466;5,2
4313490;4,2
4313490;4,2
4313508;4,3
4313508;
4313607;4,1
4313607;4,1
4313656;
4313656;
4313706;4,4
4313706;4,4
4313805;
4313805;
4313904;4,5
4313904;5,7
4313904;4,8
4313953;
4313953;
4314001;4,7
4314001;4,7
4314027;
4314027;
4314035;4,8
4314035;4,8
4314050;3,6
4314050;3,6
4314068;4,4
4314068;4,4
4314076;4,3
4314076;4,3
4314100;4,0
4314100;4,0
4314134;5,1
4314134;5,1
4314159;4,7
4314159;4,7
4314209;
4314209;
4314308;4,5
4314308;4,5
4314407;3,5
4314407;
4314407;
4314407;4,2
4314423;5,2
4314423;5,2
4314456;
4314456;
4314464;4,4
4314464;4,4
4314472;4,1
4314472;4,1
4314498;4,0
4314498;4,0
4314506;
4314506;
4314548;5,4
4314548;5,4
4314555;4,3
4314555;4,3
4314605;3,8
4314605;3,8
4314704;3,9
4314704;3,9
4314753;4,8
4314753;4,8
4314779;
4314779;
4314779;
4314787;3,4
4314787;3,4
4314803;4,7
4314803;4,7
4314902;3,9
4314902;5,2
4314902;
4314902;3,8
4315008;4,4
4315008;4,4
4315057;
4315057;
4315073;4,6
4315073;4,6
4315107;4,6
4315107;4,6
4315149;5,3
4315149;5,3
4315156;
4315156;
4315172;5,2
4315172;5,2
4315206;
4315206;
4315305;3,6
4315305;3,6
4315313;
4315313;
4315321;3,4
4315321;3,4
4315354;3,6
4315354;3,6
4315404;2,4
4315404;2,4
4315453;5,6
4315453;5,6
4315503;
4315503;
4315552;3,8
4315552;3,8
4315602;3,2
4315602;
4315602;3,7
4315701;4,2
4315701;4,2
4315750;4,8
4315750;4,8
4315800;3,4
4315800;3,4
4315909;4,2
4315909;4,2
4315958;4,8
4315958;4,8
4316006;2,9
4316006;
4316006;3,7
4316105;3,5
4316105;3,5
4316204;4,7
4316204;4,7
4316303;3,8
4316303;3,8
4316402;3,1
4316402;3,1
4316428;
4316428;
4316436;3,7
4316436;3,7
4316451;4,4
4316451;4,4
4316477;5,0
4316477;5,0
4316501;4,7
4316501;4,7
4316600;
4316600;
4316709;
4316709;
4316733;5,0
4316733;5,0
4316758;4,8
4316758;4,8
4316808;4,4
4316808;4,4
4316907;4,0
4316907;
4316907;3,1
4316956;4,2
4316956;4,2
4316972;
4316972;
4317004;3,7
4317004;3,7
4317103;2,6
4317103;
4317103;3,5
4317202;4,2
4317202;6,7
4317202;4,4
4317251;
4317251;
4317301;3,0
4317301;
4317301;3,1
4317400;4,3
4317400;4,3
4317509;4,4
4317509;
4317509;4,6
4317558;5,0
4317558;5,0
4317608;3,9
4317608;3,9
4317707;4,0
4317707;4,0
4317756;4,2
4317756;4,2
4317806;
4317806;
4317806;4,7
4317905;4,7
4317905;4,7
4317954;4,9
4317954;4,9
4318002;3,6
4318002;4,9
4318002;3,9
4318051;5,5
4318051;5,5
4318101;3,0
4318101;3,0
4318200;3,5
4318200;3,5
4318309;3,5
4318309;
4318309;3,5
4318408;3,7
4318408;3,7
4318424;4,3
4318424;4,3
4318432;
4318432;
4318440;5,0
4318440;5,0
4318457;
4318457;
4318465;
4318465;
4318481;
4318481;
4318499;6,0
4318499;6,0
4318507;
4318507;
4318606;
4318606;
4318614;
4318614;
4318622;4,3
4318622;4,3
4318705;3,7
4318705;3,7
4318804;4,0
4318804;4,0
4318903;4,4
4318903;4,4
4319000;4,6
4319000;4,6
4319109;3,6
